,1,1074563512248
1503,2080,1074566684656
1503,2081,1074566686159
1502,2082,1074566687661
1503,2083,1074566689164
1503,2084,1074566690667
1503,2085,1074566692170
1502,2086,1074566693672
1503,2087,1074566695175
1503,2088,1074566696678
1503,2089,1074566698181
1503,2090,1074566699684
1502,2091,1074566701186
1503,2092,1074566702689
1503,2093,1074566704192
1503,2094,1074566705695
1503,2095,1074566707198
1502,2096,1074566708700
1503,2097,1074566710203
1503,2098,1074566711706
1503,2099,1074566713209
1503,2100,1074566714712
1502,2101,1074566716214
1503,2102,1074566717717
1503,2103,1074566719220
1503,2104,1074566720723
1503,2105,1074566722226
1503,2106,1074566723729
1502,2107,1074566725231
1503,2108,1074566726734
1503,2109,1074566728237
1502,2110,1074566729739
1503,2111,1074566731242
1503,2112,1074566732745
1503,2113,1074566734248
1503,2114,1074566735751
1502,2115,1074566737253
1504,2116,1074566738757
1502,2117,1074566740259
1503,2118,1074566741762
1503,2119,1074566743265
1503,2120,1074566744768
1502,2121,1074566746270
1503,2122,1074566747773
1503,2123,1074566749276
1503,2124,1074566750779
1503,2125,1074566752282
1502,2126,1074566753784
1503,2127,1074566755287
1503,2128,1074566756790
1503,2129,1074566758293
1503,2130,1074566759796
1502,2131,1074566761298
1503,2132,1074566762801
1503,2133,1074566764304
1503,2134,1074566765807
1502,2135,1074566767309
1503,2136,1074566768812
1503,2137,1074566770315
1503,2138,1074566771818
1503,2139,1074566773321
1502,2140,1074566774823
1503,2141,1074566776326
1503,2142,1074566777829
1503,2143,1074566779332
1503,2144,1074566780835
1502,2145,1074566782337
1503,2146,1074566783840
1503,2147,1074566785343
1503,2148,1074566786846
1503,2149,1074566788349
1503,2150,1074566789852
1502,2151,1074566791354
1503,2152,1074566792857
1503,2153,1074566794360
1503,2154,1074566795863
1517,2155,1074566797380
1489,2156,1074566798869
1502,2157,1074566800371
1503,2158,1074566801874
1503,2159,1074566803377
1502,2160,1074566804879
1503,2161,1074566806382
1503,2162,1074566807885
1503,2163,1074566809388
1503,2164,1074566810891
1502,2165,1074566812393
1503,2166,1074566813896
1503,2167,1074566815399
1504,2168,1074566816903
1502,2169,1074566818405
1502,2170,1074566819907
1503,2171,1074566821410
1503,2172,1074566822913
1503,2173,1074566824416
1503,2174,1074566825919
1502,2175,1074566827421
1504,2176,1074566828925
1502,2177,1074566830427
1503,2178,1074566831930
1503,2179,1074566833433
1503,2180,1074566834936
1502,2181,1074566836438
1503,2182,1074566837941
1503,2183,1074566839444
3005,2184,1074566842449
1504,2185,1074566843953
1502,2186,1074566845455
1503,2187,1074566846958
1503,2188,1074566848461
1503,2189,1074566849964
1502,2190,1074566851466
1503,2191,1074566852969
1503,2192,1074566854472
1503,2193,1074566855975
1503,2194,1074566857478
1502,2195,1074566858980
1503,2196,1074566860483
1503,2197,1074566861986
1503,2198,1074566863489
1503,2199,1074566864992
1502,2200,1074566866494
1503,2201,1074566867997
1503,2202,1074566869500
1503,2203,1074566871003
1502,2204,1074566872505
1503,2205,1074566874008
1503,2206,1074566875511
1503,2207,1074566877014
1503,2208,1074566878517
1502,2209,1074566880019
1503,2210,1074566881522
1503,2211,1074566883025
1503,2212,1074566884528
1503,2213,1074566886031
1502,2214,1074566887533
1503,2215,1074566889036
1503,2216,1074566890539
1503,2217,1074566892042
1503,2218,1074566893545
1502,2219,1074566895047
1503,2220,1074566896550
1503,2221,1074566898053
1503,2222,1074566899556
1503,2223,1074566901059
1502,2224,1074566902561
1503,2225,1074566904064
1503,2226,1074566905567
1503,2227,1074566907070
1503,2228,1074566908573
1503,2229,1074566910076
1502,2230,1074566911578
1503,2231,1074566913081
1503,2232,1074566914584
1503,2233,1074566916087
1502,2234,1074566917589
1503,2235,1074566919092
1503,2236,1074566920595
1503,2237,1074566922098
1503,2238,1074566923601
1502,2239,1074566925103
1503,2240,1074566926606
1503,2241,1074566928109
1503,2242,1074566929612
1502,2243,1074566931114
1503,2244,1074566932617
1503,2245,1074566934120
1503,2246,1074566935623
1503,2247,1074566937126
1502,2248,1074566938628
1504,2249,1074566940132
1502,2250,1074566941634
1503,2251,1074566943137
1503,2252,1074566944640
1502,2253,1074566946142
1503,2254,1074566947645
1503,2255,1074566949148
1503,2256,1074566950651
1503,2257,1074566952154
1505,2258,1074566953659
1500,2259,1074566955159
1503,2260,1074566956662
1503,2261,1074566958165
1503,2262,1074566959668
1502,2263,1074566961170
1503,2264,1074566962673
1503,2265,1074566964176
1503,2266,1074566965679
1503,2267,1074566967182
1503,2268,1074566968685
1502,2269,1074566970187
1503,2270,1074566971690
1503,2271,1074566973193
1503,2272,1074566974696
1502,2273,1074566976198
1503,2274,1074566977701
1503,2275,1074566979204
1503,2276,1074566980707
1503,2277,1074566982210
1502,2278,1074566983712
1503,2279,1074566985215
1503,2280,1074566986718
1508,2281,1074566988226
1498,2282,1074566989724
1502,2283,1074566991226
1503,2284,1074566992729
1503,2285,1074566994232
1503,2286,1074566995735
1503,2287,1074566997238
1502,2288,1074566998740
1503,2289,1074567000243
1503,2290,1074567001746
1503,2291,1074567003249
1503,2292,1074567004752
1502,2293,1074567006254
1521,2294,1074567007775
1485,2295,1074567009260
1503,2296,1074567010763
1503,2297,1074567012266
1503,2298,1074567013769
1502,2299,1074567015271
1503,2300,1074567016774
1503,2301,1074567018277
1503,2302,1074567019780
1502,2303,1074567021282
1503,2304,1074567022785
1503,2305,1074567024288
1503,2306,1074567025791
1503,2307,1074567027294
1502,2308,1074567028796
1503,2309,1074567030299
1503,2310,1074567031802
1503,2311,1074567033305
1503,2312,1074567034808
1503,2313,1074567036311
1502,2314,1074567037813
1503,2315,1074567039316
1503,2316,1074567040819
1503,2317,1074567042322
3005,2318,1074567045327
1503,2319,1074567046830
1503,2320,1074567048333
1503,2321,1074567049836
1502,2322,1074567051338
1503,2323,1074567052841
1503,2324,1074567054344
1503,2325,1074567055847
1503,2326,1074567057350
1503,2327,1074567058853
1502,2328,1074567060355
1503,2329,1074567061858
1503,2330,1074567063361
1503,2331,1074567064864
1502,2332,1074567066366
1503,2333,1074567067869
1503,2334,1074567069372
1503,2335,1074567070875
1503,2336,1074567072378
1503,2337,1074567073881
1503,2338,1074567075384
1502,2339,1074567076886
1503,2340,1074567078389
1503,2341,1074567079892
1502,2342,1074567081394
1503,2343,1074567082897
1503,2344,1074567084400
1503,2345,1074567085903
1503,2346,1074567087406
1502,2347,1074567088908
1503,2348,1074567090411
1503,2349,1074567091914
1503,2350,1074567093417
1502,2351,1074567094919
1503,2352,1074567096422
1503,2353,1074567097925
1503,2354,1074567099428
